fid,y,x,tree_id,species,health,notes
381,42.47338356,-76.48638834,381,Silver Maple,5,Manuel Stillerm memorial
382,42.47327155,-76.48635101,382,Bradford Pear,3,Leaf spotting disease
383,42.47334573,-76.48626458,383,Littleleaf Linden,5,
384,42.47352828,-76.48612472,384,Bradford Pear,3,
385,42.47353755,-76.48607758,385,Bradford Pear,4,
386,42.47355726,-76.48605087,386,Bradford Pear,4,
387,42.47366944,-76.48596999,387,Amur Maple,4,Poor Drainage
388,42.47365961,-76.48588667,388,Japanese Lilac Tree,2,
389,42.47376019,-76.48587771,389,Amur Maple,4,Poor Drainage
390,42.4736877,-76.48582319,390,Japanese Lilac Tree,1,Leaf problem
391,42.47372984,-76.48580098,391,Japanese Lilac Tree,3,
392,42.47387908,-76.48564228,392,Sweet Gum,2,Just leafing out
393,42.47388962,-76.4855788,393,American Sycamore,0,
394,42.47391771,-76.48556928,394,Sweet Gum,2,Just leafing out
395,42.47422985,-76.48546398,395,Ash,5,Green
396,42.4743535,-76.48537631,396,Ash,5,White. Ash borer?
397,42.47453274,-76.4855255,397,Red Pine,2,
398,42.47451913,-76.48560855,398,Redbud,5,
399,42.47463257,-76.48554857,399,Red Spruce,3,
400,42.47494453,-76.48532543,400,Bayberry,5,
401,42.47492184,-76.48527634,401,River Birch,5,
402,42.47494567,-76.48528837,402,Bayberry,5,
403,42.47496617,-76.48527602,403,Bayberry,5,
404,42.47494852,-76.48524205,404,River Birch,5,
405,42.47511469,-76.48512715,405,Red Oak,5,
406,42.4751975,-76.4852625,406,River Birch,5,
407,42.47518238,-76.48536014,407,Japanese Red Maple,5,
408,42.47525196,-76.48523943,408,Japanese Red Maple,4,
409,42.47531208,-76.48521636,409,Honey Locust,5,
410,42.47560135,-76.48535785,410,Amur Maple,5,
411,42.47562318,-76.48530273,411,Amur Maple,3,
412,42.47563657,-76.48528453,412,Amur Maple,5,
413,42.4756853,-76.48528864,413,Crabapple,5,
414,42.47580588,-76.48531153,414,Japanese Red Maple,4,
415,42.47582454,-76.48531853,415,Dogwood,4,Kousa
416,42.47583925,-76.48533035,416,Beauty Bush,5,
417,42.47578644,-76.48537185,417,Crabapple,5,
418,42.47567395,-76.48540707,418,Crabapple,5,
419,42.47562738,-76.48595424,419,Common Lilac,3,
420,42.47554475,-76.48592129,420,Common Lilac,3,
421,42.47552733,-76.48591031,421,Common Lilac,3,
422,42.47551356,-76.48589768,422,Common Lilac,3,
423,42.47548399,-76.48587571,423,Plum,4,Cherry? Need to check
424,42.47539758,-76.48582416,424,Redbud,5,
425,42.47539434,-76.4858661,425,River Birch,3,
426,42.4753722,-76.48590078,426,Redbud,4,
427,42.4753393,-76.48594077,427,Serviceberry,4,Canadian
428,42.4752599,-76.48591155,428,Japanese Weeping Cherry,3,Planted in 2024
429,42.47519183,-76.48610072,429,River Birch,3,
430,42.47509881,-76.48601459,430,Larch,3,
431,42.47514305,-76.48595,431,Red Maple,5,
432,42.47519245,-76.4859053,432,River Birch,5,
433,42.47515462,-76.48588977,433,Redbud,3,
434,42.47516334,-76.48582796,434,Blue Spruce,4,
435,42.475175,-76.48581018,435,Redbud,3,
436,42.47518503,-76.48580696,436,Eastern Red Cedar,3,
437,42.47519149,-76.4857806,437,Blue Spruce,4,
438,42.47519149,-76.4857595,438,Fringe Tree,3,
439,42.47521057,-76.48577583,439,Eastern Red Cedar,3,
440,42.47521339,-76.48576082,440,Red Maple,5,
441,42.47522663,-76.4857384,441,Eastern Red Cedar,3,
442,42.47527767,-76.48575036,442,Dogwood,4,Flowering
443,42.47524258,-76.48572259,443,Crabapple,3,
444,42.47521424,-76.48570849,444,Dogwood,3,Kousa
445,42.47507953,-76.48571314,445,Crabapple,3,
446,42.47503415,-76.48576082,446,Silver Maple,5,
447,42.47496495,-76.48572083,447,Crabapple,4,
448,42.47490596,-76.48566239,448,Catalpa,5,
449,42.47484357,-76.4857316,449,White Spruce,3,
450,42.47485832,-76.48586694,450,Burning Bush,5,
451,42.47480046,-76.48582388,451,Silver Maple,5,
452,42.4747151,-76.48575816,452,Silver Maple,5,
453,42.47461442,-76.48581311,453,Arborvitae,5,
